Target	Status code
https://sglprdsplunkindexer01.rmit.edu.vn	0
https://sglprdsplunkindexer02.rmit.edu.vn	0
https://sglprdsplunkmgt01.rmit.edu.vn	0
https://sglprdsplunksh01.rmit.edu.vn	0
https://sgs-al-itsnms.rmit.edu.vn	0
https://sgs-dl-corpdb1.rmit.edu.vn	0
https://sgs-ml-smtp.rmit.edu.vn	0
https://sgs-radsprdap01.rmit.edu.vn	0
https://sgs-radsprdap02.rmit.edu.vn	0
https://sgs-radsprdap03.rmit.edu.vn	0
https://sgwprdadaudit01.rmit.edu.vn	0
https://sgwprdnps01.rmit.edu.vn	0
https://sgwprdsbmapp02.rmit.edu.vn	0
https://sgwprdtsgw01.rmit.edu.vn	0
https://showcase.rmit.edu.vn	0
https://siem.rmit.edu.vn	0
https://sip.rmit.edu.vn	0
https://skooprdap81.rmit.edu.vn	0
https://skooprdap85.rmit.edu.vn	0
https://skypeexternal81.rmit.edu.vn	0
https://skypeexternal85.rmit.edu.vn	0
https://smtp.rmit.edu.vn	0
https://smtp2.rmit.edu.vn	0
https://srs-docs.rmit.edu.vn	0
https://sso.rmit.edu.vn	0
https://ssodr.rmit.edu.vn	0
https://staff.rmit.edu.vn	0
https://solr.rmit.edu.vn	0
https://staffdr.rmit.edu.vn	0
https://crm.rmit.edu.vn	0
https://ems.rmit.edu.vn	0
https://ielts.rmit.edu.vn	0
https://inapps.rmit.edu.vn	0
https://internships.rmit.edu.vn	0
https://minio.rmit.edu.vn	0
https://pathways.rmit.edu.vn	0
https://staff.rmit.edu.vn	0
https://solr.rmit.edu.vn	0
https://sts.rmit.edu.vn	0
https://stsdr.rmit.edu.vn	0
https://stsstg.rmit.edu.vn	0
https://tenaprdap11.rmit.edu.vn	0
https://tenaprdap12.rmit.edu.vn	0
https://tenaprdap14.rmit.edu.vn	0
https://tenaprdap15.rmit.edu.vn	0
https://tenaprdap16.rmit.edu.vn	0
https://tenaprdap17.rmit.edu.vn	0
https://trim.rmit.edu.vn	0
https://tsgw.rmit.edu.vn	0
https://typographyvn.rmit.edu.vn	400
https://api-staging.rmit.edu.vn	0
https://staging.rmit.edu.vn	0
https://ssl-npe.rmit.edu.vn	0
https://ssl-prd.rmit.edu.vn	0
https://sslvnpe-han.rmit.edu.vn	0
https://sslvnpe-sgs.rmit.edu.vn	0
https://sslvprd-han.rmit.edu.vn	0
https://sslvprd-sgs.rmit.edu.vn	0
https://wce.rmit.edu.vn	0
https://webems.rmit.edu.vn	0
https://wlanctl1.rmit.edu.vn	0
https://wlanctl2.rmit.edu.vn	0
https://wrb.rmit.edu.vn	0
https://wwwdr.rmit.edu.vn	0
