rivf2020.rmit.edu.vn,192.0.78.13
192.0.78.12
rmitenglishevent.rmit.edu.vn,23.236.62.147
www.rmitenglishevent.rmit.edu.vn,34.149.87.45
rmitlibraryvn.rmit.edu.vn,216.147.220.65
sas.rmit.edu.vn,103.253.91.29
sbcsprdap81.rmit.edu.vn,103.253.91.28
sbcsprdap85.rmit.edu.vn,103.144.84.153
results.seup.rmit.edu.vn,20.195.56.60
results-dev.seup.rmit.edu.vn,20.198.133.70
results-stg.seup.rmit.edu.vn,20.205.146.0
sgaclearpass01.rmit.edu.vn,
sgaprdclrpspub.rmit.edu.vn,
sgaprdclrpssub.rmit.edu.vn,
sgastgcls01.rmit.edu.vn,
sgastgvpn01.rmit.edu.vn,
sglprdsecapp01.rmit.edu.vn,
sglprdsmtp01.rmit.edu.vn,
sglprdsplunkfwd01.rmit.edu.vn,
sglprdsplunkfwd02.rmit.edu.vn,
sglprdsplunkindexer01.rmit.edu.vn,
sglprdsplunkindexer02.rmit.edu.vn,
sglprdsplunkmgt01.rmit.edu.vn,
sglprdsplunksh01.rmit.edu.vn,
sglprdstudlab01.rmit.edu.vn,103.253.91.23
sgs-al-itsnms.rmit.edu.vn,
sgs-dl-corpdb1.rmit.edu.vn,
sgs-ml-smtp.rmit.edu.vn,103.253.88.4
sgs-radsprdap01.rmit.edu.vn,
sgs-radsprdap02.rmit.edu.vn,
sgs-radsprdap03.rmit.edu.vn,
sgwprdadaudit01.rmit.edu.vn,
sgwprdnps01.rmit.edu.vn,
sgwprdsbmapp02.rmit.edu.vn,
sgwprdtsgw01.rmit.edu.vn,
showcase.rmit.edu.vn,
siem.rmit.edu.vn,
sip.rmit.edu.vn,
skooprdap81.rmit.edu.vn,
skooprdap85.rmit.edu.vn,
skypeexternal81.rmit.edu.vn,
skypeexternal85.rmit.edu.vn,
smtp.rmit.edu.vn,
smtp2.rmit.edu.vn,
srms.rmit.edu.vn,4.193.128.124
srs-docs.rmit.edu.vn,
sso.rmit.edu.vn,
ssodr.rmit.edu.vn,
staff.rmit.edu.vn,
solr.staff.rmit.edu.vn,
staffdr.rmit.edu.vn,210.245.97.72
apps.staging.rmit.edu.vn,
crm.staging.rmit.edu.vn,
democlass.staging.rmit.edu.vn,
ems.staging.rmit.edu.vn,
ems-forwarder.staging.rmit.edu.vn,103.253.91.29
experienceday.staging.rmit.edu.vn,
helpdesk.staging.rmit.edu.vn,
ielts.staging.rmit.edu.vn,
inapps.staging.rmit.edu.vn,
internships.staging.rmit.edu.vn,
minio.staging.rmit.edu.vn,
oes.staging.rmit.edu.vn,
omeka.staging.rmit.edu.vn,
pathways.staging.rmit.edu.vn,
rivercitiesarchive.staging.rmit.edu.vn,
srms.staging.rmit.edu.vn,20.6.1.116
staff.staging.rmit.edu.vn,
solr.staff.staging.rmit.edu.vn,
typographyvn.staging.rmit.edu.vn,
sts.rmit.edu.vn,
www.sts.rmit.edu.vn,
stsdr.rmit.edu.vn,
stsstg.rmit.edu.vn,
studentlab1.rmit.edu.vn,103.253.91.23
teachertalks.rmit.edu.vn,23.236.62.147
www.teachertalks.rmit.edu.vn,34.149.87.45
tenaprdap11.rmit.edu.vn,
tenaprdap12.rmit.edu.vn,
tenaprdap14.rmit.edu.vn,
tenaprdap15.rmit.edu.vn,
tenaprdap16.rmit.edu.vn,
tenaprdap17.rmit.edu.vn,
trim.rmit.edu.vn,
tsgw.rmit.edu.vn,
typographyvn.rmit.edu.vn,103.253.88.45
api-staging.virtualcase.rmit.edu.vn,
staging.virtualcase.rmit.edu.vn,
ssl-npe.vpn.rmit.edu.vn,103.253.91.100
ssl-prd.vpn.rmit.edu.vn,103.253.91.101
sslvnpe-han.vpn.rmit.edu.vn,
sslvnpe-sgs.vpn.rmit.edu.vn,
sslvprd-han.vpn.rmit.edu.vn,
sslvprd-sgs.vpn.rmit.edu.vn,
wce.rmit.edu.vn,
webems.rmit.edu.vn,
wlanctl1.rmit.edu.vn,
wlanctl2.rmit.edu.vn,
wrb.rmit.edu.vn,
wwwdr.rmit.edu.vn,
